field,field,field,field,field
"03011007","3","11","7","And the swine, though he divideth the hoof, and is cloven-footed, yet he cheweth not the cud; he is unclean to you."
"03011008","3","11","8","Of their flesh shall ye not eat, and their carcass shall ye not touch; they are unclean to you."
"03011009","3","11","9","These shall ye eat, of all that are in the waters: whatever hath fins and scales in the waters, in the seas, and in the rivers, them shall ye eat."
"03011010","3","11","10","And all that have not fins nor scales in the seas, and in the rivers, of all that move in the waters, and of any living animal which is in the waters, they shall be an abomination to you:"
"03011011","3","11","11","They shall be even an abomination to you; ye shall not eat of their flesh, but ye shall have their carcasses in abomination."
"03011012","3","11","12","Whatever hath no fins nor scales in the waters, that shall be an abomination to you."
"03011013","3","11","13","And these are they which ye shall have in abomination among the fowls; they shall not be eaten, they are an abomination: the eagle, and the ossifrage, and the ospray,"
"03011014","3","11","14","And the vultur, and the kite after his kind;"
"03011015","3","11","15","Every raven after his kind;"
"03011016","3","11","16","And the owl, and the night-hawk, and the cuckow, and the hawk after his kind,"
"03011017","3","11","17","And the little owl, and the cormorant, and the great owl,"
"03011018","3","11","18","And the swan, and the pelican, and the gier-eagle,"
"03011019","3","11","19","And the stork, and the heron after her kind, and the lapwing, and the bat."
"03011020","3","11","20","All fowls that creep, going upon all four, shall be an abomination to you."
"03011021","3","11","21","Yet these may ye eat, of every flying creeping animal that goeth upon all four, which have legs above their feet, to leap with upon the earth;"
"03011022","3","11","22","Even these of them ye may eat; the locust after its kind, and the bald locust after its kind, and the beetle after its kind, and the grasshopper after its kind."
"03011023","3","11","23","But all other flying creeping animals, which have four feet, shall be an abomination to you."
"03011024","3","11","24","And for these ye shall be unclean: whoever toucheth the carcass of them shall be unclean until the evening."
"03011025","3","11","25","And whoever beareth aught of the carcass of them shall wash his clothes, and be unclean until the evening."
"03011026","3","11","26","The carcasses of every beast which divideth the hoof, and is not cloven-footed, nor cheweth the cud, are unclean to you: every one that toucheth them shall be unclean."
"03011027","3","11","27","And whatever goeth upon its paws, among all manner of beasts that go on all four, those are unclean to you: whoever toucheth their carcass shall be unclean until the evening."
"03011028","3","11","28","And he that beareth the carcass of them shall wash his clothes, and be unclean until the evening: they are unclean to you."
"03011029","3","11","29","These also shall be unclean to you among the creeping animals that creep upon the earth; the weasel, and the mouse, and the tortoise, after its kind,"
"03011030","3","11","30","And the ferret and the chameleon, and the lizard, and the snail, and the mole."
"03011031","3","11","31","These are unclean to you among all that creep: whoever doth touch them, when they are dead, shall be unclean until the evening."
"03011032","3","11","32","And upon whatever any of them, when they are dead, doth fall, it shall be unclean; whether it is any vessel of wood, or raiment, or skin, or sack, whatever vessel it is, in which any work is done, it must be put into water, and it shall be unclean until the evening; so it shall be cleansed."
"03011033","3","11","33","And every earthen vessel, into which any of them falleth, whatever is in it shall be unclean; and ye shall break it."
"03011034","3","11","34","Of all meat which may be eaten, that on which such water cometh shall be unclean: and all drink that may be drank in every such vessel, shall be unclean."
"03011035","3","11","35","And every thing on which any part of their carcass falleth, shall be unclean; whether an oven, or ranges for pots, they shall be broken down: for they are unclean, and shall be unclean to you."
"03011036","3","11","36","Nevertheless, a fountain or pit, in which there is plenty of water, shall be clean: but that which toucheth their carcass shall be unclean."
"03011037","3","11","37","And if any part of their carcass shall fall upon any sowing-seed which is to be sown, it shall be clean."
"03011038","3","11","38","But if any water shall be put upon the seed, and any part of their carcass shall fall on it, it shall be unclean to you."
"03011039","3","11","39","And if any beast, of which ye may eat, shall die; he that toucheth its carcass shall be unclean until the evening."
"03011040","3","11","40","And he that eateth of its carcass shall wash his clothes, and be unclean until the evening; he also that beareth its carcass shall wash his clothes and be unclean until the evening."
"03011041","3","11","41","And every creeping animal that creepeth upon the earth shall be an abomination; it shall not be eaten."
"03011042","3","11","42","Whatever goeth upon the belly, and whatever goeth upon all four, or whatever hath more feet among all creeping animals that creep upon the earth, them ye shall not eat; for they are an abomination."
"03011043","3","11","43","Ye shall not make your selves abominable with any creeping animal that creepeth, neither shall ye make yourselves unclean with them, that ye should be defiled by them."
"03011044","3","11","44","For I am the LORD your God: ye shall therefore sanctify yourselves, and ye shall be holy; for I am holy: neither shall ye defile yourselves with any manner of creeping animal that creepeth upon the earth."
"03011045","3","11","45","For I am the LORD that bringeth you out of the land of Egypt, to be your God: ye shall therefore be holy, for I am holy."
"03011046","3","11","46","This is the law of the beasts, and of the fowl, and of every living creature that moveth in the waters, and of every creature that creepeth upon the earth;"
"03011047","3","11","47","To make a difference between the unclean and the clean, and between the beast that may be eaten and the beast that may not be eaten."
"03012001","3","12","1","And the LORD spoke to Moses, saying,"
"03012002","3","12","2","Speak to the children of Israel, saying, If a woman hath conceived seed, and borne a male-child; then she shall be unclean seven days; according to the days of the separation for her infirmity shall she be unclean."
"03012003","3","12","3","And in the eighth day the flesh of his foreskin shall be circumcised."
"03012004","3","12","4","And she shall then continue in the blood of her purifying three and thirty days: she shall touch no hallowed thing, nor come into the sanctuary, until the days of her purifying be fulfilled."
"03012005","3","12","5","But if she shall bear a female-child, then she shall be unclean two weeks, as in her separation: and she shall continue in the blood of her purifying sixty six days."
"03012006","3","12","6","And when the days of her purifying are fulfilled, for a son, or for a daughter, she shall bring a lamb of the first year for a burnt-offering, and a young pigeon, or a turtle-dove, for a sin-offering, to the door of the tabernacle of the congregation, to the priest;"
"03012007","3","12","7","Who shall offer it before the LORD, and make an atonement for her; and she shall be cleansed from the issue of her blood. This is the law for her that hath borne a male or a female."
"03012008","3","12","8","And if she shall not be able to bring a lamb, then she shall bring two turtles, or two young pigeons; the one for the burnt-offering, and the other for a sin-offering: and the priest shall make an atonement for her, and she shall be clean."
"03013001","3","13","1","And the LORD spoke to Moses and Aaron, saying,"
"03013002","3","13","2","When a man shall have in the skin of his flesh a rising, a scab, or bright spot, and it be in the skin of his flesh like the plague of leprosy; then he shall be brought to Aaron the priest, or to one of his sons the priests:"
"03013003","3","13","3","And the priest shall look on the plague in the skin of the flesh: and when the hair in the plague is turned white, and the plague in sight is deeper than the skin of his flesh, it is a plague of leprosy: and the priest shall look on him, and pronounce him unclean."
"03013004","3","13","4","If the bright spot is white in the skin of his flesh, and in sight, not deeper than the skin, and the hair of it not turned white; then the priest shall shut up him that hath the plague seven days:"
"03013005","3","13","5","And the priest shall look on him the seventh day: and behold, if the plague in his sight is at a stay, and the plague spreadeth not in the skin; then the priest shall shut him up seven days more:"
"03013006","3","13","6","And the priest shall look on him again the seventh day: and behold, if the plague is somewhat dark, and the plague spreadeth not in the skin, the priest shall pronounce him clean: it is but a scab: and he shall wash his clothes, and be clean."
"03013007","3","13","7","But if the scab shall spread much in the skin, after he hath been seen by the priest for his cleansing, he shall be seen by the priest again:"
"03013008","3","13","8","And if the priest shall see, that behold, the scab spreadeth in the skin, then the priest shall pronounce him unclean: it is a leprosy."
"03013009","3","13","9","When the plague of leprosy is in a man, then he shall be brought to the priest:"
"03013010","3","13","10","And the priest shall see him: and behold, if the rising is white in the skin, and it hath turned the hair white, and there is raw flesh in the rising;"
"03013011","3","13","11","It is an old leprosy in the skin of his flesh, and the priest shall pronounce him unclean, and shall not shut him up; for he is unclean."
"03013012","3","13","12","And if a leprosy shall break out in the skin, and the leprosy shall cover all the skin of him that hath the plague from his head even to his foot, wherever the priest looketh;"
"03013013","3","13","13","Then the priest shall consider: and behold, if the leprosy hath covered all his flesh, he shall pronounce him clean that hath the plague: it is all turned white: he is clean."
"03013014","3","13","14","But when raw flesh appeareth in him, he shall be unclean."
"03013015","3","13","15","And the priest shall see the raw flesh, and pronounce him to be unclean: for the raw flesh is unclean: it is a leprosy."
"03013016","3","13","16","Or if the raw flesh shall turn again, and be changed into white, he shall come to the priest;"
"03013017","3","13","17","And the priest shall see him: and behold, if the plague is turned into white: then the priest shall pronounce him clean that hath the plague: he is clean."
"03013018","3","13","18","The flesh also, in which, even in the skin of it, was a boil, and is healed,"
"03013019","3","13","19","And in the place of the boil there shall be a white rising, or a bright spot, white, and somewhat reddish, and it be showed to the priest;"
"03013020","3","13","20","And if, when the priest seeth it, behold, it is in sight lower than the skin, and the hair of it is turned white; the priest shall pronounce him unclean: it is a plague of leprosy broken out of the boil."
"03013021","3","13","21","But if the priest shall look on it, and behold, there are no white hairs in it, and if it is not lower than the skin, but somewhat dark; then the priest shall shut him up seven days:"
"03013022","3","13","22","And if it hath spread much in the skin, then the priest shall pronounce him unclean: it is a plague."
"03013023","3","13","23","But if the bright spot shall stay in its place, and not spread, it is a burning boil; and the priest shall pronounce him clean."
"03013024","3","13","24","Or if there is any flesh, in the skin of which there is a hot burning, and the live flesh that burneth hath a white bright spot, somewhat reddish or white;"
"03013025","3","13","25","Then the priest shall look upon it: and behold, if the hair in the bright spot is turned white, and it is in sight deeper than the skin: it is a leprosy broken out of the burning: wherefore the priest shall pronounce him unclean: it is the plague of leprosy."
"03013026","3","13","26","But if the priest shall look on it, and behold, there is no white hair in the bright spot, and it is no lower than the other skin, but is somewhat dark; then the priest shall shut him up seven days:"
"03013027","3","13","27","And the priest shall look upon him the seventh day: and if it is spread much in the skin, then the priest shall pronounce him unclean: it is the plague of leprosy,"
"03013028","3","13","28","And if the bright spot shall stay in its place, and not spread in the skin, but be somewhat dark; it is a rising of the burning, and the priest shall pronounce him clean: for it is an inflammation of the burning."
"03013029","3","13","29","If a man or woman shall have a plague upon the head or the beard;"
"03013030","3","13","30","Then the priest shall see the plague: and behold, if it is in sight deeper than the skin, and there is in it a yellow thin hair; then the priest shall pronounce him unclean: it is a dry scall, even a leprosy upon the head or beard."
"03013031","3","13","31","And if the priest shall look on the plague of the scall, and behold, it is not in sight deeper than the skin, and no black hair in it; then the priest shall shut up him that hath the plague of the scall seven days:"
"03013032","3","13","32","And in the seventh day the priest shall look on the plague: and behold, if the scall spreadeth not, and there is in it no yellow hair, and the scall is not in sight deeper than the skin;"
"03013033","3","13","33","He shall be shaven, but the scall shall he not shave; and the priest shall shut up him that hath the scall seven days more:"
"03013034","3","13","34","And in the seventh day the priest shall look on the scall: and behold, if the scall is not spread in the skin, nor is in sight deeper than the skin; then the priest shall pronounce him clean: and he shall wash his clothes, and be clean."
"03013035","3","13","35","But if the scall shall spread much in the skin after his cleansing;"
"03013036","3","13","36","Then the priest shall look on him: and behold, if the scall is spread in the skin, the priest shall not seek for yellow hair; he is unclean."
"03013037","3","13","37","But if the scall shall be in his sight at a stay, and there is black hair grown in it; the scall is healed, he is clean: and the priest shall pronounce him clean."
"03013038","3","13","38","If a man also or a woman shall have in the skin of their flesh bright spots, even white bright spots;"
"03013039","3","13","39","Then the priest shall look: and behold, if the bright spots in the skin of their flesh are darkish white; it is a freckled spot that groweth in the skin; he is clean."
"03013040","3","13","40","And the man whose hair hath fallen off his head, he is bald; yet is he clean."
"03013041","3","13","41","And he that hath his hair fallen off from the part of his head towards his face, he is forehead-bald; yet is he clean."
"03013042","3","13","42","And if there is in the bald head, or bald forehead, a white reddish sore; it is a leprosy sprung up on his bald head, or his bald forehead."
"03013043","3","13","43","Then the priest shall look upon it: and behold, if the rising of the sore is white reddish on his bald head, or on his bald forehead, as the leprosy appeareth in the skin of the flesh;"
"03013044","3","13","44","He is a leprous man, he is unclean: the priest shall pronounce him utterly unclean; his plague is in his head."
"03013045","3","13","45","And the leper in whom the plague is, his clothes shall be rent, and his head bare, and he shall put a covering upon his upper lip, and shall cry, Unclean, unclean."
"03013046","3","13","46","All the days in which the plague shall be in him he shall be defiled; he is unclean: he shall dwell alone, without the camp shall his habitation be."
"03013047","3","13","47","The garment also that the plague of leprosy is in, whether a woolen garment, or a linen garment;"
"03013048","3","13","48","Whether in the warp, or woof, of linen, or of woolen: whether in a skin, or in any thing made of skin:"
"03013049","3","13","49","And if the plague is greenish or reddish in the garment, or in the skin, either in the warp, or in the woof, or in any thing of skin: it is a plague of leprosy, and shall be shown to the priest:"
"03013050","3","13","50","And the priest shall look upon the plague, and shut up that which hath the plague seven days:"
"03013051","3","13","51","And he shall look on the plague on the seventh day: if the plague is spread in the garment, either in the warp, or in the woof, or in a skin, or in any work that is made of skin: the plague is a fretting leprosy; it is unclean."
"03013052","3","13","52","He shall therefore burn that garment, whether warp or woof, in woolen or in linen, or any thing of skin, in which the plague is: for it is a fretting leprosy; it shall be burnt in the fire."
"03013053","3","13","53","And if the priest shall look, and behold, the plague is not spread in the garment, either in the warp or in the woof, or in any thing of skin;"
"03013054","3","13","54","Then the priest shall command that they wash the thing in which the plague is, and he shall shut it up seven days more:"
"03013055","3","13","55","And the priest shall look on the plague after it is washed: and behold, if the plague hath not changed its color, and the plague hath not spread; it is unclean; thou shalt burn it in the fire; it is fret inward, whether it is bare within or without."
"03013056","3","13","56","And if the priest shall look, and behold, the plague is somewhat dark after the washing of it; then he shall rend it out of the garment, or out of the skin, or out of the warp, or out of the woof:"
"03013057","3","13","57","And if it shall appear still in the garment, either in the warp, or in the woof, or in any thing of skin; it is a spreading plague: thou shalt burn that in which the plague is, with fire."
"03013058","3","13","58","And the garment, either warp, or woof, or whatever thing of skin it is, which thou shalt wash, if the plague hath departed from them, then it shall be washed the second time, and shall be clean."
"03013059","3","13","59","This is the law of the plague of leprosy in a garment of woolen or linen, either in the warp or woof, or any thing of skins, to pronounce it clean, or to pronounce it unclean."
"03014001","3","14","1","And the LORD spoke to Moses, saying,"
"03014002","3","14","2","This shall be the law of the leper in the day of his cleansing: He shall be brought to the priest:"
"03014003","3","14","3","And the priest shall go forth out of the camp: and the priest shall look, and behold, if the plague of leprosy is healed in the leper;"
"03014004","3","14","4","Then shall the priest command to take for him that is to be cleansed two birds alive, and clean, and cedar-wood, and scarlet, and hyssop."
"03014005","3","14","5","And the priest shall command that one of the birds be killed in an earthen vessel, over running water."
"03014006","3","14","6","As for the living bird, he shall take it, and the cedar-wood, and the scarlet, and the hyssop, and shall dip them, and the living bird, in the blood of the bird that was killed over the running water."
"03014007","3","14","7","And he shall sprinkle upon him that is to be cleansed from the leprosy seven times, and shall pronounce him clean, and shall let the living bird loose into the open field."
"03014008","3","14","8","And he that is to be cleansed shall wash his clothes, and shave off all his hair, and wash himself in water, that he may be clean: and after that he shall come into the camp, and shall tarry abroad out of his tent seven days."
"03014009","3","14","9","But it shall be on the seventh day, that he shall shave all his hair off his head, and his beard, and his eye-brows, even all his hair he shall shave off; and he shall wash his clothes, also he shall wash his flesh in water, and he shall be clean."
"03014010","3","14","10","And on the eighth day he shall take two he-lambs without blemish, and one ewe-lamb of the first year without blemish, and three tenth-parts of fine flour for a meat-offering, mingled with oil, and one log of oil."
"03014011","3","14","11","And the priest that maketh him clean, shall present the man that is to be made clean, and those things, before the LORD, at the door of the tabernacle of the congregation."
"03014012","3","14","12","And the priest shall take one he-lamb, and offer him for a trespass-offering, and the log of oil, and wave them for a wave-offering before the LORD."
"03014013","3","14","13","And he shall slay the lamb in the place where he shall kill the sin-offering and the burnt-offering, in the holy-place: for as the sin-offering is the priest's, so is the trespass-offering: it is most holy."
"03014014","3","14","14","And the priest shall take some of the blood of the trespass-offering, and the priest shall put it upon the tip of the right ear of him that is to be cleansed, and upon the thumb of his right hand, and upon the great toe of his right foot."
"03014015","3","14","15","And the priest shall take some of the log of oil, and pour it into the palm of his own left hand:"
"03014016","3","14","16","And the priest shall dip his right finger in the oil that is in his left hand, and shall sprinkle of the oil with his finger seven times before the LORD."
"03014017","3","14","17","And of the rest of the oil that is in his hand, shall the priest put upon the tip of the right ear of him that is to be cleansed, and upon the thumb of his right hand, and upon the great toe of his right foot, upon the blood of the trespass-offering."
"03014018","3","14","18","And the remnant of the oil that is in the priest's hand he shall pour upon the head of him that is to be cleansed: and the priest shall make an atonement for him before the LORD."
"03014019","3","14","19","And the priest shall offer the sin-offering, and make an atonement for him that is to be cleansed from his uncleanness; and afterward he shall kill the burnt-offering."
"03014020","3","14","20","And the priest shall offer the burnt-offering, and the meat-offering upon the altar: and the priest shall make an atonement for him, and he shall be clean."
"03014021","3","14","21","And if he is poor, and cannot get so much; then he shall take one lamb for a trespass-offering to be waved, to make an atonement for him, and one tenth-part of fine flour mingled with oil for a meat-offering, and a log of oil;"
"03014022","3","14","22","And two turtle-doves, or two young pigeons, such as he is able to get; and the one shall be a sin-offering, and the other a burnt-offering."
"03014023","3","14","23","And he shall bring them on the eighth day for his cleansing to the priest, to the door of the tabernacle of the congregation, before the LORD."
"03014024","3","14","24","And the priest shall take the lamb of the trespass-offering, and the log of oil, and the priest shall wave them for a wave-offering before the LORD."
"03014025","3","14","25","And he shall kill the lamb of the trespass-offering, and the priest shall take some of the blood of the trespass-offering, and put it upon the tip of the right ear of him that is to be cleansed, and upon the thumb of his right hand, and upon the great toe of his right foot."
"03014026","3","14","26","And the priest shall pour of the oil into the palm of his own left hand."
"03014027","3","14","27","And the priest shall sprinkle with his right finger some of the oil that is in his left hand seven times before the LORD:"
"03014028","3","14","28","And the priest shall put of the oil that is in his hand upon the tip of the right ear of him that is to be cleansed, and upon the thumb of his right hand, and upon the great toe of his right foot, upon the place of the blood of the trespass-offering."
"03014029","3","14","29","And the rest of the oil that is in the priest's hand he shall put upon the head of him that is to be cleansed, to make an atonement for him before the LORD."
"03014030","3","14","30","And he shall offer one of the turtle-doves, or of the young pigeons, such as he can get;"
"03014031","3","14","31","Even such as he is able to get, the one for a sin-offering, and the other for a burnt-offering, with the meat-offering. And the priest shall make an atonement for him that is to be cleansed, before the LORD."
"03014032","3","14","32","This is the law of him in whom is the plague of leprosy, whose hand is not able to get that which pertaineth to his cleansing."
"03014033","3","14","33","And the LORD spoke to Moses and to Aaron, saying,"
"03014034","3","14","34","When ye shall have come into the land of Canaan, which I give to you for a possession, and I put the plague of leprosy in a house of the land of your possession;"
"03014035","3","14","35","And he that owneth the house shall come and tell the priest, saying, it seemeth to me there is as it were a plague in the house:"
"03014036","3","14","36","Then the priest shall command that they empty the house, before the priest shall enter to see the plague, that all that is in the house may not be made unclean; and afterward the priest shall go in to see the house:"
"03014037","3","14","37","And he shall look on the plague, and behold, if the plague is in the walls of the house, with hollow streaks, greenish, or reddish, which in sight are lower than the wall;"
"03014038","3","14","38","Then the priest shall go out of the house to the door of the house, and shut up the house seven days:"
"03014039","3","14","39","And the priest shall come again the seventh day, and shall look; and behold, if the plague is spread in the walls of the house;"
"03014040","3","14","40","Then the priest shall command that they take away the stones in which the plague is, and they shall cast them into an unclean place without the city:"
"03014041","3","14","41","And he shall cause the house to be scraped within on all sides, and they shall pour out the dust that they scrape off without the city into an unclean place:"
"03014042","3","14","42","And they shall take other stones, and put them in the place of those stones; and he shall take other mortar, and shall plaster the house."
"03014043","3","14","43","And if the plague shall return, and break out in the house, after that he hath taken away the stones, and after he hath scraped the house, and after it is plastered;"
"03014044","3","14","44","Then the priest shall come and look; and behold, if the plague is spread in the house, it is a fretting leprosy in the house: it is unclean."
"03014045","3","14","45","And he shall break down the house, its stones, and its timber, and all the mortar of the house: and he shall carry them forth out of the city to an unclean place."
"03014046","3","14","46","Moreover, he that goeth into the house all the while that it is shut up, shall be unclean until the evening."
"03014047","3","14","47","And he that lieth in the house shall wash his clothes: and he that eateth in the house shall wash his clothes."
"03014048","3","14","48","And if the priest shall come in, and look upon it, and behold, the plague hath not spread in the house, after the house was plastered: then the priest shall pronounce the house clean, because the plague is healed."
"03014049","3","14","49","And he shall take to cleanse the house two birds, and cedar-wood, and scarlet, and hyssop:"
"03014050","3","14","50","And he shall kill one of the birds in an earthen vessel, over running water:"
"03014051","3","14","51","And he shall take the cedar-wood, and the hyssop, and the scarlet, and the living bird, and dip them in the blood of the slain bird, and in the running water, and sprinkle the house seven times:"
"03014052","3","14","52","And he shall cleanse the house with the blood of the bird, and with the running water, and with the living bird, and with the cedar wood, and with the hyssop, and with the scarlet:"
"03014053","3","14","53","But he shall let go the living bird out of the city into the open fields, and make an atonement for the house: and it shall be clean."
"03014054","3","14","54","This is the law for all manner of plague of leprosy, and scall,"
"03014055","3","14","55","And for the leprosy of a garment, and of a house,"
"03014056","3","14","56","And for a rising, and for a scab, and for a bright spot:"
"03014057","3","14","57","To teach when it is unclean, and when it is clean: this is the law of leprosy."
"03015001","3","15","1","And the LORD spoke to Moses and to Aaron, saying,"
"03015002","3","15","2","Speak to the children of Israel, and say to them, When any man hath a running issue out of his flesh, because of his issue he is unclean."
"03015003","3","15","3","And this shall be his uncleanness in his issue: whether his flesh shall run with his issue, or his flesh be stopped from his issue, it is his uncleanness."
"03015004","3","15","4","Every bed on which he lieth that hath the issue, is unclean: and every thing on which he sitteth, shall be unclean."
"03015005","3","15","5","And whoever toucheth his bed, shall wash his clothes, and bathe himself in water, and be unclean until the evening."
"03015006","3","15","6","And he that sitteth on any thing on which he sat that hath the issue, shall wash his clothes, and bathe himself in water, and be unclean until the evening."
"03015007","3","15","7","And he that toucheth the flesh of him that hath the issue, shall wash his clothes, and bathe himself in water, and be unclean until the evening."
"03015008","3","15","8","And if he that hath the issue shall spit upon him that is clean; then he shall wash his clothes, and bathe himself in water, and be unclean until the evening."
"03015009","3","15","9","And whatever saddle he rideth upon that hath the issue, shall be unclean."
"03015010","3","15","10","And whoever toucheth any thing that was under him shall be unclean until the evening; and he that beareth any of those things, shall wash his clothes, and bathe himself in water, and be unclean until the evening."
"03015011","3","15","11","And whomsoever he toucheth that hath the issue (and hath not rinsed his hands in water) he shall wash his clothes, and bathe himself in water, and be unclean until the evening."
"03015012","3","15","12","And the vessel of earth that he toucheth who hath the issue, shall be broken: and every vessel of wood shall be rinsed in water."
"03015013","3","15","13","And when he that hath an issue is cleansed of his issue; then he shall number to himself seven days for his cleansing, and wash his clothes, and bathe his flesh in running water, and shall be clean."
"03015014","3","15","14","And on the eighth day he shall take to him two turtle-doves, or two young pigeons, and come before the LORD to the door of the tabernacle of the congregation, and give them to the priest:"
"03015015","3","15","15","And the priest shall offer them, the one for a sin-offering, and the other for a burnt-offering; and the priest shall make an atonement for him before the LORD for his issue."
"03015016","3","15","16","And if any man's seed of copulation shall go from him, then he shall wash all his flesh in water, and be unclean until the evening."
"03015017","3","15","17","And every garment, and every skin on which is the seed of copulation, shall be washed with water, and be unclean until the evening."
"03015018","3","15","18","The woman also with whom man shall lie with seed of copulation, they shall both bathe themselves in water, and be unclean until the evening."
"03015019","3","15","19","And if a woman shall have an issue, and her issue in her flesh be blood, she shall be put apart seven days: and whoever toucheth her shall be unclean until the evening."
"03015020","3","15","20","And every thing that she lieth upon in her separation shall be unclean: every thing also that she sitteth upon shall be unclean."
"03015021","3","15","21","And whoever toucheth her bed shall wash his clothes, and bathe himself in water, and be unclean until the evening."
"03015022","3","15","22","And whoever toucheth any thing that she sat upon shall wash his clothes, and bathe himself in water, and be unclean until the evening."
"03015023","3","15","23","And if it be on her bed, or on any thing on which she sitteth, when he toucheth it, he shall be unclean until the evening."
"03015024","3","15","24","And if any man shall lie with her at all, and her flowers be upon him, he shall be unclean seven days: and all the bed on which he lieth shall be unclean."
"03015025","3","15","25","And if a woman shall have an issue of her blood many days out of the time of her separation, or if it shall run beyond the time of her separation; all the days of the issue of her uncleanness shall be as the days of her separation: she shall be unclean."
"03015026","3","15","26","Every bed on which she lieth all the days of her issue shall be to her as the bed of her separation: and whatever she sitteth upon shall be unclean as the uncleanness of her separation."
"03015027","3","15","27","And whoever toucheth those things shall be unclean, and shall wash his clothes, and bathe himself in water, and be unclean until the evening."
"03015028","3","15","28","But if she shall be cleansed of her issue, then she shall number to herself seven days, and after that she shall be clean."
"03015029","3","15","29","And on the eighth day she shall take to her two turtles, or two young pigeons, and bring them to the priest, to the door of the tabernacle of the congregation."
"03015030","3","15","30","And the priest shall offer the one for a sin-offering, and the other for a burnt-offering; and the priest shall make an atonement for her before the LORD for the issue of her uncleanness."
"03015031","3","15","31","Thus shall ye separate the children of Israel from their uncleanness: that they die not in their uncleanness, when they defile my tabernacle that is among them."
"03015032","3","15","32","This is the law of him that hath an issue, and of him whose seed goeth from him, and he is defiled therewith."
"03015033","3","15","33","And of her that is sick of her flowers, and of him that hath an issue, of the man and of the woman, and of him that lieth with her that is unclean."
"03016001","3","16","1","And the LORD spoke to Moses after the death of the two sons of Aaron, when they offered before the LORD, and died:"
"03016002","3","16","2","And the LORD said to Moses, Speak to Aaron thy brother, that he come not at all times into the holy place within the vail, before the mercy-seat, which is upon the ark; that he may not die: for I will appear in the cloud upon the mercy-seat."
"03016003","3","16","3","Thus shall Aaron come into the holy place: with a young bullock for a sin-offering, and a ram for a burnt-offering."
"03016004","3","16","4","He shall put on the holy linen coat, and he shall have the linen breeches upon his flesh, and shall be girded with the linen girdle, and with the linen miter shall he be attired: these are holy garments; therefore shall he wash his flesh in water, and so put them on."
"03016005","3","16","5","And he shall take of the congregation of the children of Israel two kids of the goats for a sin-offering, and one ram for a burnt-offering."
"03016006","3","16","6","And Aaron shall offer his bullock of the sin-offering, which is for himself, and make an atonement for himself, and for his house."
"03016007","3","16","7","And he shall take the two goats, and present them before the LORD at the door of the tabernacle of the congregation."
"03016008","3","16","8","And Aaron shall cast lots upon the two goats; one lot for the LORD, and the other lot for the scape-goat."
"03016009","3","16","9","And Aaron shall bring the goat upon which the LORD'S lot fell, and offer him for a sin-offering."
"03016010","3","16","10","But the goat on which the lot fell to be the scape-goat, shall be presented alive before the LORD, to make an atonement with him, and to let him go for a scape-goat into the wilderness."
"03016011","3","16","11","And Aaron shall bring the bullock of the sin-offering, which is for himself, and shall make an atonement for himself, and for his house, and shall kill the bullock of the sin-offering which is for himself:"
"03016012","3","16","12","And he shall take a censer full of burning coals of fire from off the altar before the LORD, and his hands full of sweet incense beaten small, and bring it within the vail:"
"03016013","3","16","13","And he shall put the incense upon the fire before the LORD, that the cloud of the incense may cover the mercy-seat that is upon the testimony, that he may not die."
"03016014","3","16","14","And he shall take of the blood of the bullock, and sprinkle it with his finger upon the mercy-seat eastward: and before the mercy-seat shall he sprinkle of the blood with his finger seven times."
"03016015","3","16","15","Then shall he kill the goat of the sin-offering that is for the people, and bring his blood within the vail, and do with that blood as he did with the blood of the bullock, and sprinkle it upon the mercy-seat, and before the mercy-seat:"
"03016016","3","16","16","And he shall make an atonement for the holy place, because of the uncleanness of the children of Israel, and because of their transgressions in all their sins: and so shall he do for the tabernacle of the congregation that remaineth among them in the midst of their uncleanness."
"03016017","3","16","17","And there shall be no man in the tabernacle of the congregation when he goeth in to make an atonement in the holy place, until he shall come out, and shall have made an atonement for himself, and for his household, and for all the congregation of Israel."
"03016018","3","16","18","And he shall go out to the altar that is before the LORD, and make an atonement for it; and shall take of the blood of the bullock, and of the blood of the goat, and put it upon the horns of the altar round about."
"03016019","3","16","19","And he shall sprinkle of the blood upon it with his finger seven times, and cleanse it, and hallow it from the uncleanness of the children of Israel."
"03016020","3","16","20","And when he hath made an end of reconciling the holy place, and the tabernacle of the congregation, and the altar, he shall bring the live goat:"
"03016021","3","16","21","And Aaron shall lay both his hands upon the head of the live goat, and confess over him all the iniquities of the children of Israel, and all their transgressions in all their sins, putting them upon the head of the goat, and shall send him away by the hand of a fit man into the wilderness:"
"03016022","3","16","22","And the goat shall bear upon him all their iniquities to a land not inhabited: and he shall let go the goat in the wilderness."
"03016023","3","16","23","And Aaron shall come into the tabernacle of the congregation, and shall put off the linen garments which he put on when he went into the holy place, and shall leave them there:"
"03016024","3","16","24","And he shall wash his flesh with water in the holy place, and put on his garments, and come forth, and offer his burnt-offering, and the burnt-offering of the people, and make an atonement for himself, and for the people."
"03016025","3","16","25","And the fat of the sin-offering shall he burn upon the altar."
"03016026","3","16","26","And he that let go the goat for the scape-goat shall wash his clothes, and bathe his flesh in water, and afterward come into the camp."
"03016027","3","16","27","And the bullock for the sin-offering, and the goat for the sin-offering, whose blood was brought in to make atonement in the holy place, shall one carry forth without the camp; and they shall burn in the fire their skins, and their flesh, and their dung."
